exchange_id, data_time, channel_no, seq, price, qty, side, ord_type
2,20211118131938020,2013,25875064,22.25,3000,2,2
2,20211118131938020,2013,25875066,6.49,11000,2,2
2,20211118131938020,2031,4954729,205.9,140,1,2
2,20211118131938020,2011,26019037,16.51,800,2,2
2,20211118131938020,2013,25875068,12.28,1000,2,2
2,20211118131938020,2013,25875069,26.51,300,1,2
2,20211118131938020,2033,6284834,263.32,70,1,2
2,20211118131938020,2021,587009,0.813,150000,2,2
2,20211118131938020,2011,26019040,173.11,100,2,2
2,20211118131938020,2011,26019041,7.26,100,2,2
2,20211118131938020,2011,26019044,16.15,100,1,2
2,20211118131938020,2011,26019045,16.15,100,1,2
2,20211118131938020,2013,25875071,34.21,500,2,2
2,20211118131938020,2013,25875072,11.61,10000,1,2
2,20211118131938020,2011,26019047,55.43,100,2,2
2,20211118131938020,2011,26019049,3.99,200,2,2
2,20211118131938030,2011,26019051,26.9,400,2,2
2,20211118131938030,2011,26019052,3.51,4600,2,2
2,20211118131938030,2033,6284835,263.988,50,1,2
2,20211118131938030,2013,25875074,22.96,100,2,2
2,20211118131938030,2023,656835,1.512,80100,2,2
2,20211118131938030,2061,927199,2.331,200,2,2
2,20211118131938030,2061,927201,2.331,50,2,2
2,20211118131938030,2013,25875077,6.34,3000,1,2
2,20211118131938020,2012,25553243,15.58,200,2,2
2,20211118131938030,2012,25553245,6.76,300,1,2
2,20211118131938030,2032,2703183,371.824,20,1,2
2,20211118131938020,2014,25718027,73.6,300,1,2
2,20211118131938030,2014,25718028,4.91,500,2,2
2,20211118131938030,2014,25718029,13.19,1300,1,2
2,20211118131938030,2012,25553246,8.45,20000,1,2
2,20211118131938030,2012,25553247,165.92,100,2,2
2,20211118131938030,2012,25553248,2.77,20000,1,2
2,20211118131938030,2014,25718031,4.9,5000,1,2
2,20211118131938030,2012,25553249,11.34,900,1,2
2,20211118131938030,2012,25553250,3.52,400,1,2
2,20211118131938030,2012,25553254,124.39,100,1,2
2,20211118131938030,2012,25553255,21.05,6000,2,2
2,20211118131938030,2012,25553256,6.76,100,2,2
2,20211118131938030,2012,25553258,3.52,500,1,2
2,20211118131938030,2013,25875078,5.53,6100,2,2
2,20211118131938030,2013,25875079,5.53,4600,2,2
2,20211118131938030,2014,25718034,13.2,200,2,2
2,20211118131938030,2014,25718036,4.9,2300,1,2
2,20211118131938040,2012,25553261,17.89,200,1,2
2,20211118131938040,2034,6162895,421.734,40,1,2
2,20211118131938030,2021,587011,1.072,180000,1,2
2,20211118131938030,2031,4954730,353.222,370,1,2
2,20211118131938030,2033,6284837,165.038,20,2,2
2,20211118131938030,2013,25875080,34.18,300,2,2
2,20211118131938030,2011,26019055,296.23,100,1,2
2,20211118131938030,2011,26019057,33.26,300,2,2
2,20211118131938040,2011,26019058,20.3,1000,2,2
2,20211118131938040,2032,2703187,160.1,10,1,2
2,20211118131938040,2013,25875081,5.36,1000,1,2
2,20211118131938040,2013,25875082,15.63,300,1,2
2,20211118131938040,2013,25875083,9.6,200,1,2
2,20211118131938040,2014,25718039,43.87,100,2,2
2,20211118131938040,2013,25875084,24.3,300,2,2
2,20211118131938040,2061,927203,2.331,450,2,2
2,20211118131938040,2033,6284841,264.569,140,2,2
2,20211118131938040,2012,25553262,12.37,1100,2,2
2,20211118131938040,2024,645003,1.18,200,2,2
2,20211118131938040,2012,25553263,12.27,100,2,2
2,20211118131938040,2014,25718040,44.6,1800,2,2
2,20211118131938040,2014,25718042,12.39,1600,1,2
2,20211118131938040,2011,26019059,39.28,100,1,2
2,20211118131938040,2011,26019061,6.9,10000,2,2
2,20211118131938040,2011,26019062,76.24,300,1,2
2,20211118131938040,2011,26019063,20.28,400,2,2
2,20211118131938040,2032,2703188,160.1,10,2,2
2,20211118131938040,2032,2703190,160.1,10,2,2
2,20211118131938040,2014,25718047,56,100,1,2
2,20211118131938040,2012,25553265,552.47,100,2,2
2,20211118131938040,2014,25718048,7.04,200,2,2
2,20211118131938040,2014,25718050,5.73,200,1,2
2,20211118131938040,2012,25553267,23.16,100,2,2
2,20211118131938040,2032,2703193,142.05,350,1,2
2,20211118131938040,2012,25553268,4.93,1400,1,2
2,20211118131938040,2014,25718052,13.36,500,1,2
2,20211118131938040,2014,25718053,18.76,200,1,2
2,20211118131938040,2012,25553270,25.9,100,1,2
2,20211118131938040,2012,25553271,4.21,6400,1,2
2,20211118131938040,2011,26019065,10.38,1000,2,2
2,20211118131938040,2011,26019067,9.09,11300,1,2
2,20211118131938040,2014,25718055,17.07,700,2,2
2,20211118131938040,2034,6162896,422.162,230,1,2
2,20211118131938050,2012,25553273,13.31,1000,1,2
2,20211118131938040,2013,25875087,23.36,200,2,2
2,20211118131938040,2033,6284843,110.8,220,1,2
2,20211118131938040,2011,26019070,32.94,100,2,2
2,20211118131938040,2011,26019071,6.67,600,1,2
2,20211118131938050,2013,25875091,34.42,200,1,2
2,20211118131938050,2013,25875093,92.34,100,1,2
2,20211118131938050,2012,25553274,5.26,600,1,2
2,20211118131938050,2013,25875094,52.91,5000,1,2
2,20211118131938050,2033,6284844,165.05,10,2,2
2,20211118131938050,2013,25875095,25.9,100,2,2
2,20211118131938050,2011,26019074,6.21,700,1,2
2,20211118131938050,2011,26019075,8.5,12700,2,2
2,20211118131938050,2012,25553276,23.49,800,2,2
2,20211118131938050,2012,25553277,30.58,200,1,2
2,20211118131938050,2013,25875098,4.88,400,2,2
2,20211118131938050,2013,25875099,34.65,400,1,2
2,20211118131938050,2014,25718056,9.55,500,2,2
2,20211118131938050,2034,6162900,422.002,660,1,2
2,20211118131938050,2031,4954731,417.36,400,2,2
2,20211118131938050,2011,26019076,631.07,200,1,2
2,20211118131938050,2011,26019078,32.92,1700,1,2
2,20211118131938050,2032,2703195,246.002,570,2,2
2,20211118131938050,2034,6162905,421.994,200,1,2
2,20211118131938050,2014,25718057,28,200,2,2
2,20211118131938050,2011,26019079,103.43,100,2,2
2,20211118131938050,2011,26019081,290.15,1500,1,2
2,20211118131938050,2031,4954732,417.38,400,1,2
2,20211118131938050,2034,6162906,422.064,690,1,2
2,20211118131938050,2034,6162910,365.407,10,2,2
2,20211118131938050,2034,6162911,422.06,10,1,2
2,20211118131938050,2014,25718058,27.14,1000,2,2
2,20211118131938050,2014,25718059,17.06,400,2,2
2,20211118131938050,2034,6162913,422.2,10,1,2
2,20211118131938050,2034,6162915,422.065,30,1,2
2,20211118131938050,2034,6162918,422.204,10,1,2
2,20211118131938050,2014,25718063,6.86,11600,2,2
2,20211118131938050,2014,25718066,4.32,2000,2,2
2,20211118131938050,2034,6162919,422.2,10,1,2
2,20211118131938050,2034,6162921,421.905,110,1,2
2,20211118131938050,2014,25718070,17.06,100,2,2
2,20211118131938050,2034,6162922,422.668,80,2,2
2,20211118131938050,2034,6162923,422.16,10,2,2
2,20211118131938050,2034,6162925,421.995,260,1,2
2,20211118131938050,2014,25718072,27.54,100,1,2
2,20211118131938050,2013,25875100,19.35,2200,1,2
2,20211118131938060,2032,2703200,246.015,50,1,2
2,20211118131938050,2034,6162926,422.668,30,2,2
2,20211118131938050,2034,6162927,422.668,110,2,2
