exchange_id, data_time, channel_no, seq, price, qty, money, bid_no, ask_no, trade_flag
2,20211118131938020,2013,25875065,0,1500,0,0,25718032,4
2,20211118131938020,2013,25875067,0,200,0,83851,0,4
2,20211118131938020,2011,26019038,16.51,500,8255,26010162,26019037,F
2,20211118131938020,2011,26019039,16.51,300,4953,26010166,26019037,F
2,20211118131938020,2013,25875070,26.51,300,7953,25875069,25840684,F
2,20211118131938020,2011,26019042,7.26,100,726,20471333,26019041,F
2,20211118131938020,2011,26019043,0,100,0,16781154,0,4
2,20211118131938020,2011,26019046,0,100,0,0,25105723,4
2,20211118131938020,2011,26019048,55.43,100,5543,25933060,26019047,F
2,20211118131938020,2011,26019050,3.99,200,798,26010581,26019049,F
2,20211118131938030,2013,25875073,0,500,0,2938523,0,4
2,20211118131938030,2021,587010,0,48100,0,0,510295,4
2,20211118131938030,2013,25875075,22.97,100,2297,23322906,25875074,F
2,20211118131938030,2013,25875076,0,200,0,0,25808801,4
2,20211118131938030,2061,927200,2.331,200,466.2,921896,927199,F
2,20211118131938030,2061,927202,2.331,50,116.55,921896,927201,F
2,20211118131938020,2012,25553244,0,500,0,25388695,0,4
2,20211118131938030,2014,25718030,0,1000,0,19478646,0,4
2,20211118131938030,2032,2703184,371.824,10,3718.24,2703183,2703178,F
2,20211118131938030,2014,25718032,4.9,200,980,25718031,25532147,F
2,20211118131938030,2012,25553251,3.52,400,1408,25553250,25546739,F
2,20211118131938030,2012,25553252,0,500,0,25529476,0,4
2,20211118131938030,2012,25553253,0,500,0,25529477,0,4
2,20211118131938030,2014,25718033,4.9,4800,23520,25718031,25532435,F
2,20211118131938030,2012,25553257,6.76,100,676,25553245,25553256,F
2,20211118131938030,2033,6284836,0,130,0,0,6280646,4
2,20211118131938030,2012,25553259,3.52,500,1760,25553258,25546739,F
2,20211118131938030,2032,2703185,0,10,0,2701023,0,4
2,20211118131938030,2032,2703186,0,40,0,0,2595158,4
2,20211118131938040,2012,25553260,0,3700,0,25506393,0,4
2,20211118131938030,2014,25718035,13.2,200,2640,25717289,25718034,F
2,20211118131938030,2014,25718037,4.9,2300,11270,25718036,25532435,F
2,20211118131938030,2034,6162894,0,20,0,0,6136421,4
2,20211118131938030,2014,25718038,0,100,0,0,25679758,4
2,20211118131938030,2011,26019053,0,500,0,0,24396963,4
2,20211118131938030,2011,26019054,0,18600,0,0,25598042,4
2,20211118131938030,2033,6284838,165.055,10,1650.55,6284652,6284837,F
2,20211118131938030,2033,6284839,165.052,10,1650.52,6284501,6284837,F
2,20211118131938030,2011,26019056,0,900,0,0,25990259,4
2,20211118131938040,2033,6284840,0,300,0,0,6269317,4
2,20211118131938040,2061,927204,2.331,450,1048.95,921896,927203,F
2,20211118131938040,2014,25718041,44.6,700,31220,25705988,25718040,F
2,20211118131938040,2014,25718043,12.38,200,2476,25718042,18767061,F
2,20211118131938040,2011,26019060,39.28,100,3928,26019059,26016930,F
2,20211118131938040,2033,6284842,0,390,0,0,6284156,4
2,20211118131938040,2013,25875085,0,4500,0,0,25790113,4
2,20211118131938040,2011,26019064,20.28,400,8112,26018819,26019063,F
2,20211118131938040,2014,25718044,12.38,200,2476,25718042,18782422,F
2,20211118131938040,2014,25718045,12.38,500,6190,25718042,18935680,F
2,20211118131938040,2014,25718046,12.38,700,8666,25718042,19089099,F
2,20211118131938040,2032,2703189,160.1,10,1601,2703187,2703188,F
2,20211118131938040,2032,2703191,0,220,0,0,2700285,4
2,20211118131938040,2032,2703192,0,120,0,0,2702667,4
2,20211118131938040,2012,25553264,0,8000,0,0,24282700,4
2,20211118131938040,2012,25553266,552.49,100,55249,25537568,25553265,F
2,20211118131938040,2014,25718049,7.04,200,1408,25446072,25718048,F
2,20211118131938040,2012,25553269,4.93,1400,6902,25553268,25546382,F
2,20211118131938040,2014,25718051,5.73,200,1146,25718050,25713053,F
2,20211118131938040,2014,25718054,18.76,200,3752,25718053,24833448,F
2,20211118131938040,2032,2703194,0,10,0,0,2660142,4
2,20211118131938040,2013,25875086,0,100,0,0,24855850,4
